School ID,Name of School,"Elementary, Middle, or High School",CPS Performance Policy Status,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,Latitude,Longitude
609966,Charles G Hammond Elementary School,ES,Not on Probation,No,Average,40,NDA,Average,41,Average,43,NDA,NDA,NDA,NDA,Weak,43,Weak,45,95.3,8.5,95.2,92,77.4,NDA,27.4,24.8,62.4,53.7,38.1,28.8,60.2,59.8,12.8,5.3,10.1,5.8,0.5,0.2,25,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,446,41.85269133,-87.69627777
610539,Marvin Camras Elementary School,ES,Not on Probation,No,Average,54,58,Weak,37,Average,41,Very Strong,83,Very Strong,88,Average,51,Strong,55,95.1,4.3,0,97.7,47.5,39.9,30.8,27.8,47.8,38.6,41.1,38.5,49.2,55.4,15.3,30.5,11.2,12,-1.8,-0.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,826,41.93496641,-87.77016525
609852,Eliza Chappell Elementary School,ES,Not on Probation,No,Strong,70,65,Average,53,Average,51,Average,56,Average,48,Average,50,Average,52,95.1,2.9,96.7,98.9,72.6,57,56,54.4,55.2,69,53.2,63.9,60,59.8,12.8,41,19.6,17.6,0.4,1,27.5,63.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,451,41.975867,-87.68325438
609835,Daniel R Cameron Elementary School,ES,Probation,No,Average,42,NDA,Average,49,Average,50,NDA,NDA,NDA,NDA,Weak,46,Weak,46,92.6,153.9,96.2,98.4,47.8,21.1,16.4,16.1,31.3,34.7,19.2,15.6,33.5,35,9.2,7.1,10.3,5.9,-1,-1.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,828,41.90378521,-87.71796315
610521,Sir Miles Davis Magnet Elementary Academy,ES,Probation,No,Weak,35,NDA,Average,51,Average,54,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,93,57.8,94.5,100,63.9,62.3,24.8,14.1,43.1,52,22.6,17.1,49.1,45.5,4.4,13.3,5.9,3.2,0,-0.9,25.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,354,41.77122181,-87.66656657
609818,Luther Burbank Elementary School,ES,Not on Probation,No,Weak,37,NDA,Average,42,Weak,34,NDA,NDA,NDA,NDA,Average,47,Average,49,95.2,9.8,95.5,100,60.8,45.2,42.8,34.9,61.2,63.8,41,34.4,55,54.5,13.1,17.2,20.6,11.3,-0.2,0.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1139,41.91759334,-87.78266267
610298,Lenart Elementary Regional Gifted Center,ES,Not on Probation,No,Strong,79,58,Average,51,Strong,67,Average,50,Strong,63,Average,52,Average,52,97.4,0.3,97.8,100,NDA,NDA,93.9,96.9,69.4,46.9,93.5,96.8,57.6,55.9,86.7,93.3,88,86.4,1,0.5,100,70,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,328,41.74715024,-87.62800231
610200,James N Thorp Elementary School,ES,Probation,No,Weak,32,NDA,Weak,39,Weak,39,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,91.8,45.4,95.9,100,51,24.3,9.1,10.4,33.6,31,27.3,30.5,52.9,43.8,3.6,20,8.7,3.6,-0.4,-1.2,14,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,449,41.73331035,-87.54451462
609680,Walter Payton College Preparatory High School,HS,Not on Probation,No,Very Strong,98,NDA,Very Strong,80,Strong,77,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,93.4,0.7,96.1,100,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,21.2,21.8,23.1,23.2,2,27,3.9,96.4,96.9,82.4,881,41.90155157,-87.63453744
610056,Roswell B Mason Elementary School,ES,Probation,No,Weak,37,47,Average,44,Average,58,Average,50,Weak,36,Average,51,Strong,54,92.4,31,95,94.5,48.4,NDA,8.1,20.3,34.2,31.2,12.9,28.4,24.3,39.8,5.7,26.9,4.2,5.8,-2.1,-0.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,479,41.85685194,-87.73049117
609848,Ira F Aldridge Elementary School,ES,Probation,No,Weak,39,NDA,Weak,36,Weak,39,NDA,NDA,NDA,NDA,Average,49,Weak,46,92.9,49,96.3,100,62.7,60.9,20.7,20.2,46.7,40.9,21.2,29.8,37.4,60.2,2.5,20,7.7,7.2,-1.5,-0.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,285,41.65743243,-87.60649623
610038,Abraham Lincoln Elementary School,ES,Not on Probation,Yes,Very Strong,99,99,Strong,74,Strong,66,Strong,65,Strong,70,Strong,56,Average,47,96,2,96.4,95.8,80.1,43.3,89.6,84.9,60.7,62.6,81.9,85.2,52,62.4,66.3,77.9,69.7,64.4,0.2,0.9,67.1,54.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,813,41.92449696,-87.64452163
610123,William Penn Elementary School,ES,Probation,No,Strong,78,NDA,Very Strong,99,Very Strong,99,NDA,NDA,NDA,NDA,Average,52,Average,53,91.8,5.7,95.2,92.9,42.7,NDA,22.4,17.6,53,51.5,16.5,15.7,42.5,51.3,8.7,17.4,8.1,5.5,0.3,-0.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,423,41.85836995,-87.72133609
609863,Christopher Columbus Elementary School,ES,Not on Probation,No,Strong,66,NDA,Average,57,Average,55,NDA,NDA,NDA,NDA,Strong,54,Average,48,95.5,2.4,96.9,92.6,77,72.3,59.2,48.7,57.7,62.5,76.2,56.9,78.8,63,40,45,42,30.5,1.1,1.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,309,41.89958139,-87.68190167
610226,Socorro Sandoval Elementary School,ES,Probation,No,NDA,,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Weak,44,Average,50,95.8,3.7,96.5,98.9,77.3,47.9,44.1,23,53,61.5,NDA,NDA,NDA,NDA,NDA,NDA,15.9,9.1,-0.5,-0.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1186,41.79235177,-87.71102417
609722,Manley Career Academy High School,HS,Probation,No,Average,41,39,Average,43,Weak,31,Very Weak,19,Weak,32,NDA,NDA,NDA,NDA,66.8,19.7,95.4,98.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,12.2,11.9,13.3,13,0.8,13.8,0.5,6.7,49,51.9,599,41.87091163,-87.69988652
610308,Wilma Rudolph Elementary Learning Center,ES,Not Applicable,No,NDA,,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Strong,57,Strong,60,80,0,95.6,100,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,100,41.88357478,-87.66951363
609749,Northside College Preparatory High School,HS,Not on Probation,No,Very Strong,99,NDA,Very Strong,99,Very Strong,88,NDA,NDA,NDA,NDA,Strong,57,Strong,62,95.7,2.8,96.8,98.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,22.4,22.2,24.5,24.7,2.3,28.8,4.3,98,97.6,90.7,1053,41.98135196,-87.70867192
609958,Frank W Gunsaulus Elementary Scholastic Academy,ES,Not on Probation,No,Average,46,38,Weak,30,Average,45,Weak,34,Very Weak,14,Average,49,Average,48,96.6,87.3,96,100,72.8,61.1,44,32.7,48.2,59.2,56.3,51.1,56.5,59.6,27.4,42.4,24,18.1,0.6,1.7,22.4,100,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,867,41.81299531,-87.69940042
610121,Washington Irving Elementary School,ES,Not on Probation,No,Average,43,NDA,Weak,34,Average,44,NDA,NDA,NDA,NDA,Average,48,Average,49,95.6,15.1,95.9,89,71.8,64.1,36.8,34,45.5,52.2,57.1,46.8,68.8,64.2,17,27.7,22.6,20.9,-0.8,0.7,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,482,41.87161238,-87.68357939
610352,Durkin Park Elementary School,ES,Not on Probation,No,Strong,61,74,Average,57,Average,58,Very Strong,88,Strong,74,Average,53,Weak,38,95.4,0.7,95.8,100,75.6,58.1,36.6,32.3,55.8,65.6,53.4,40.4,61.8,61.5,22.4,40.8,22,16.3,0.8,1.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,543,41.73886352,-87.72991927
609856,Henry Clay Elementary School,ES,Not on Probation,No,Weak,38,39,Weak,30,Weak,30,Weak,24,Weak,31,NDA,NDA,NDA,NDA,95.2,6,96.1,100,52.4,47,34.4,27.1,42,48,39.3,29.6,54.8,37.1,10.2,25.4,17.1,12.3,-0.3,-0.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,633,41.65455937,-87.544577
609919,John Fiske Elementary School,ES,Probation,No,Very Weak,13,24,Weak,37,Average,55,Average,40,Weak,35,Average,47,Average,50,92.9,37.1,91.7,91.4,87.1,NDA,15.7,14.6,58,54.2,30.1,30.1,69.7,61.8,32.1,28.6,4,4,-1.3,-1.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,254,41.78290934,-87.60259685
609938,Joseph E Gary Elementary School,ES,Not on Probation,No,Weak,32,27,Weak,29,Weak,28,Weak,29,Very Weak,17,Weak,45,Average,48,96.1,16.8,96.2,100,NDA,NDA,34.5,21.8,50.5,55.3,45.5,27.7,58.4,41.7,12.3,21.3,14.3,7.6,0.4,0.1,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1204,41.83709246,-87.71870452
610212,Albany Park Multicultural Academy,MS,Not on Probation,No,Strong,66,37,Strong,66,Strong,71,Average,43,Average,50,Weak,46,Average,51,97,2.3,96.9,100,NDA,NDA,NDA,NDA,NDA,NDA,60.7,39.8,53.7,59.8,17.5,20.8,34.5,15.6,0.2,0.3,29.2,50,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,266,41.9711433,-87.70962725
610239,Richard J Daley Elementary Academy,ES,Not on Probation,No,Weak,29,40,Weak,37,Average,46,Average,50,Average,42,Weak,46,Average,47,94.9,44.2,96,98.4,50.8,26.4,36.5,13.3,52.6,63.9,43.4,25.5,70.4,55.6,16.7,5.6,14.4,5.3,1,0.5,13.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,797,41.80234381,-87.67224309
610523,Edison Park Elementary School,ES,Not on Probation,No,Very Strong,95,NDA,Average,52,Average,49,NDA,NDA,NDA,NDA,Strong,56,Weak,46,96.1,6.9,96.6,98.6,78.1,NDA,64.2,62.6,54.7,49.1,59.4,61.4,38.8,48.5,40,55,27.7,32.6,-0.6,-0.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,431,41.99422812,-87.81380814
610047,James Madison Elementary School,ES,Probation,No,Weak,39,NDA,Weak,32,Weak,28,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,94.9,12.4,97.7,100,60,60.7,21.8,24.3,52,49,33.3,19.3,48.8,38.6,3.1,28.1,14.1,5.1,0.7,-0.9,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,317,41.75955224,-87.59067582
610244,Michele Clark Academic Prep Magnet High School,HS,Probation,No,NDA,,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Average,48,Weak,36,79.1,24.4,95.4,100,NDA,NDA,NDA,NDA,NDA,NDA,19.4,22.8,36.5,52.7,3.6,10.7,1.7,2.6,-1.2,-0.7,NDA,NDA,14,13.3,14.4,14.5,0.5,15.7,1.3,13,87.4,60.4,726,41.87285714,-87.75335467
610013,Pilsen Elementary Community Academy,ES,Not on Probation,No,Average,43,40,Average,49,Average,55,Very Weak,16,Weak,37,NDA,NDA,NDA,NDA,96,9.4,96.7,100,58.1,36.1,23.7,19.4,46.3,46.7,35.7,33.3,50,51.2,NDA,NDA,18,12.8,-1,0.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,447,41.85887606,-87.6622254
610394,Uplift Community High School,HS,Not on Probation,No,Average,50,50,Strong,61,Strong,62,Average,48,Average,53,NDA,NDA,NDA,NDA,88.7,8.1,95.9,98.3,NDA,NDA,NDA,NDA,NDA,NDA,51.2,34.9,70,29.3,14.8,14.8,23.3,2.3,0.8,-0.2,NDA,NDA,13.6,13.9,14.9,14.7,1.1,16.9,2,19.6,62.4,65,473,41.96557412,-87.65252191
610243,John Calhoun North Elementary School,ES,Not on Probation,No,Average,52,51,Average,44,Average,54,Strong,79,Very Strong,88,Weak,43,Average,48,95.9,4.6,96.5,98.1,71.3,48.8,37.4,28.3,52.2,61.5,50.5,37.9,62.5,69.3,12.5,25,32.8,14.4,3.5,3.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,328,41.87822115,-87.69755292
610285,Granville T Woods Math & Science Academy Elementary School,ES,Not on Probation,No,Weak,35,NDA,Average,43,Weak,31,NDA,NDA,NDA,NDA,Average,48,Average,49,91.9,41.5,95.2,100,NDA,61.7,25.8,11.4,35.1,53.8,24.2,21.6,50.9,46.3,5.4,17.5,11.1,6.5,0,-0.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,402,41.7811649,-87.65468845
609799,Alexander Graham Bell Elementary School,ES,Not on Probation,No,Very Strong,99,88,Strong,64,Average,46,Average,51,Average,51,NDA,NDA,NDA,NDA,96.3,6.3,95.9,99.3,91.9,67.3,79.2,77.4,53.3,54.7,84.2,83,49.8,53.6,62.6,71.7,64,57.9,0,0.3,58.1,65.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,998,41.94952795,-87.68605496
610257,Morton School of Excellence,ES,Probation,No,Average,53,49,Strong,66,Strong,63,Very Strong,86,Very Strong,95,Average,52,Strong,59,93.6,73.9,97.1,100,NDA,NDA,43.2,36.8,57.9,62.2,38.6,36,65.3,49,7.1,7.1,16.3,8.4,2.8,0.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,349,41.88928666,-87.7049885
